17:PROTX1@nn@RNAi@nsubj@influence@dobj@expression@nn@PROTX2	DLX4	Bax
8226:PROTX1@nsubjpass@found@nsubjpass@PROTX2	DKK1	SFRP1
8232:PROTX1@amod@model@prep_of@PROTX2	SCID	breast cancer
8238:PROTX1@nsubj@contributes@prep_to@malignancy@prep_of@PROTX2	Fli-1	breast cancer
8245:PROTX1@nn@analysis@prep_of@families@nn@PROTX2	SNP	breast cancer
8249:PROTX1@prep_of@Over-expression@nsubj@inhibited@dobj@chemotaxis@amod@PROTX2	PTEN	EGF-induced
8253:PROTX1@nsubj@plays@dobj@role@prep_in@chemotaxis@amod@PROTX2	PTEN	EGF-induced
8255:PROTX1@nsubj@represses@dobj@expression@prep_of@PROTX2	MTA3	Snail
8279:PROTX1@prep_of@role@dobj@assess@prep_on@levels@nn@PROTX2	BRCA1	IGF-IR
8280:PROTX1@nsubj@induced@dobj@reduction@prep_in@levels@nn@PROTX2	BRCA1	IGF-IR
8282:PROTX1@nn@gene@nsubj@target@prep_for@action@amod@PROTX2	IGF-IR	BRCA1
8288:PROTX1@amod@mutations@prep_of@PROTX2	Germ-line	BRCA2
8303:PROTX1@nsubj@interacts@prep_with@PROTX2	NDRG1	NDRG1
8311:PROTX1@nn@lines@nsubj@expressed@dobj@levels@prep_of@transcripts@nn@PROTX2	breast cancer	VHL
8318:PROTX1@prep_of@levels@nsubj@occur@prep_in@tumours@nn@PROTX2	VHL	breast
8323:PROTX1@nn@levels@nsubj@(@dobj@)@amod@PROTX2	HER2	2-fold
8334:PROTX1@prep_of@composed@prep_including@cancer@prep_of@PROTX2	HDAC1	breast
8339:PROTX1@nsubj@enhances@prep_in@cells@nn@PROTX2	BRCA1	breast cancer
8346:PROTX1@nsubj@induces@dobj@apoptosis@prep_in@cells@nn@PROTX2	HOXA5	breast cancer
8351:PROTX1@prep_of@progression@dobj@underlying@prep_to@PROTX2	breast cancer	breast cancer
8352:PROTX1@nn@insertion@nsubj@created@dobj@cells@nn@PROTX2	ERM	breast cancer
8357:PROTX1@xsubj@inhibit@dobj@adhesion@prep_of@lines@nn@PROTX2	LRT-SIFP	breast cancer
8367:PROTX1@nsubj@regulator@prep_of@PROTX2	RNF5	breast cancer
8389:PROTX1@prep_of@mutation@nsubj@found@prep_in@impairs@nn@PROTX2	Keap1	breast cancer
8419:PROTX1@prep_with@patients@nsubj@have@dobj@expression@nn@PROTX2	CS	PTEN
8454:PROTX1@nn@)@prep_of@)@nn@PROTX2	exon	AR
8460:PROTX1@nsubj@inhibits@dobj@death@prep_in@cells@nn@PROTX2	BP1	breast cancer
8466:PROTX1@amod@status@prep_in@PROTX2	HER2	breast cancer
8478:PROTX1@nn@)@nsubj@node@dobj@carcinomas@nn@PROTX2	CSNK1D	breast
8498:PROTX1@nsubj@controls@dobj@response@prep_in@cells@nn@PROTX2	TFAP2C	breast cancer
8499:PROTX1@nsubj@regulator@prep_of@responsiveness@prep_in@cells@nn@PROTX2	TFAP2C	breast
8500:PROTX1@nsubj@controls@dobj@expression@prep_including@PROTX2	TFAP2C	MYB
8501:PROTX1@nsubj@controlled@dobj@expression@prep_of@PROTX2	TFAP2C	GPR30
8502:PROTX1@prep_of@Knockdown@nsubj@decreased@dobj@growth@prep_of@xenografts@nn@PROTX2	TFAP2C	breast cancer
8524:PROTX1@prep_between@correlation@prep_between@PROTX2	ZNF24	VEGF
8527:PROTX1@nsubjpass@involved@prep_in@regulation@prep_of@PROTX2	ZNF24	VEGF
8541:PROTX1@amod@induction@prep_of@PROTX2	1.2-fold	c-Myc
8563:PROTX1@nsubj@exerts@prep_on@microenvironment@nn@PROTX2	MetS	breast
8564:PROTX1@nsubjpass@identified@prep_as@factor@prep_for@PROTX2	MetS	breast cancer
8566:PROTX1@nn@cycle@nsubj@explain@dobj@paradox@nn@PROTX2	PAI-1	PAI-1
8567:PROTX1@nsubj@upregulates@acomp@PROTX2	MetS	PAI-1
8573:PROTX1@nsubj@inhibited@dobj@proliferation@prep_of@cells@nn@PROTX2	BMP6	MDA-MB-231
8577:PROTX1@nsubj@induced@dobj@arrest@prep_in@cells@nn@PROTX2	BMP6	breast cancer
8582:PROTX1@nn@TNFalpha@nsubj@regulator@prep_of@PROTX2	Mt	breast cancer
8592:PROTX1@prep_of@expression@nsubj@sensitizes@dobj@cells@nn@PROTX2	Tob1	breast cancer
8597:PROTX1@prep_of@combination@prep_with@PROTX2	5-Fu	SM
8603:PROTX1@nn@(@nsubj@glutathione@dobj@PROTX2	GST	pull-down
8605:PROTX1@prep_between@interaction@prep_between@first@prep_of@PROTX2	Cdc45	TopBP1
8616:PROTX1@nsubj@interacts@prep_with@PROTX2	LIMD1	RB
8635:PROTX1@nsubj@member@partmod@containing@dobj@domain@amod@PROTX2	RASSF2	ras-association
8639:PROTX1@nsubj@suppressed@dobj@growth@nn@PROTX2	RASSF2	breast
8640:PROTX1@nsubjpass@methylated@prep_in@tumours@nn@PROTX2	RASSF2	breast
8642:PROTX1@nn@)@prep_in@region@nn@PROTX2	del	CASP8
8653:PROTX1@nn@isoforms@prep_of@functions@nsubj@vary@prep_to@)@nn@PROTX2	PR	PR
8656:PROTX1@nsubj@modulated@dobj@activity@prep_of@isoforms@nn@PROTX2	PRM	PR
8688:PROTX1@amod@therapy@prep_in@PROTX2	HER2	breast cancer
8695:PROTX1@nsubj@drives@prep_in@cells@nn@PROTX2	MAZ	breast cancer
8724:PROTX1@nsubj@modulates@dobj@acetylation@nn@PROTX2	KLF4	H4
8727:PROTX1@prep_of@Amplification@nsubj@contributes@prep_to@pathophysiology@prep_of@PROTX2	PVT1	breast cancer
8729:PROTX1@nn@genotype@prep_of@polymorphism@nn@PROTX2	AA	BCL2
8730:PROTX1@nn@)@prep_in@promoter@nn@PROTX2	SNP	BCL2
8736:PROTX1@nsubj@increases@dobj@transcripts@amod@PROTX2	EGF	TWIST
8739:PROTX1@nsubj@activates@dobj@promoter@amod@PROTX2	STAT3	TWIST
8740:PROTX1@nn@elements@partmod@required@prep_for@PROTX2	STAT3	EGF-responsiveness
8741:PROTX1@nsubj@induces@dobj@binding@prep_of@PROTX2	EGF	STAT3
8756:PROTX1@nsubj@overcome@dobj@resistance@nn@PROTX2	Smad7	TNF
8757:PROTX1@prep_of@Overexpression@nsubj@induces@dobj@degradation@prep_of@polymerase@nn@PROTX2	Smad7	ADP-ribose
8769:PROTX1@nsubj@induces@dobj@tumors@prep_of@PROTX2	PhIP	breast
8794:PROTX1@nn@)@nsubj@characterize@dobj@variants@amod@PROTX2	ROMA	germ-line
8798:PROTX1@nn@epithelium@prep_of@PROTX2	breast	breast
8832:PROTX1@nsubj@confer@dobj@penetrance@prep_for@PROTX2	CHEK2	breast cancer
8835:PROTX1@nsubj@differ@prep_from@PROTX2	breast cancer	breast cancer
8848:PROTX1@nn@gene@nsubj@constitutes@dobj@PROTX2	SYCP3	core
8849:PROTX1@prep_of@Inhibition@nsubj@increases@dobj@sensitivity@prep_in@line@nn@PROTX2	Stat3	breast cancer
8851:PROTX1@nsubjpass@activated@prep_in@tumors@nn@PROTX2	Stat3	breast
8863:PROTX1@amod@protein@prep_in@tissue@nn@PROTX2	BRCA1	breast
8871:PROTX1@nsubj@binds@prep_to@)@nn@PROTX2	HSF1	MTA1
8883:PROTX1@nn@genotype@nsubjpass@associated@prep_with@PROTX2	CYP1B1_1358_GG	breast cancer
8886:PROTX1@prep_between@relationship@prep_between@level@nn@PROTX2	CYP1B1	breast
8905:PROTX1@nsubj@increased@prep_for@PROTX2	HRs	PFS
8914:PROTX1@nsubj@protein@prep_for@receptors@nn@PROTX2	IRS-1	IGF1
8921:PROTX1@amod@status@prep_in@PROTX2	HER2	breast cancer
8927:PROTX1@nsubjpass@overexpressed@prep_in@patients@nn@PROTX2	NAIP	breast cancer
8929:PROTX1@amod@gene@prep_in@PROTX2	RUNX3	breast cancer
8930:PROTX1@nn@tissues@prep_of@percent@nsubj@showed@dobj@expression@nn@PROTX2	breast cancer	RUNX3
8931:PROTX1@nn@lines@prep_of@percent@nsubj@showed@dobj@expression@nn@PROTX2	breast cancer	RUNX3
8956:PROTX1@amod@domains@partmod@located@prep_in@middle@prep_of@PROTX2	coiled-coil	PHB
8961:PROTX1@nn@dosage@nsubj@regulates@dobj@suppression@prep_of@expression@amod@PROTX2	CBP	MCP-1
8962:PROTX1@nn@complex@nn@PROTX2	Mre11-Rad50-Nbs1	MRN
8965:PROTX1@nn@genes@prep_between@association@prep_between@PROTX2	MRN	breast cancer
8977:PROTX1@nsubj@regulates@dobj@expression@prep_in@cells@nn@PROTX2	STAT3	breast cancer
8987:PROTX1@prep_between@interface@dobj@Modulating@prep_to@PROTX2	Smad3	Smad3
8988:PROTX1@prep_of@associations@dobj@examined@prep_with@exposure@nn@PROTX2	breast cancer	sun
8991:PROTX1@nsubjpass@associated@prep_with@exposure@nn@PROTX2	breast cancer	sun
8993:PROTX1@amod@domain@nn@PROTX2	ring-associated	SRA
8995:PROTX1@prep_of@Downregulation@nsubj@decreased@dobj@expression@amod@PROTX2	DNMT1	VEGF
9012:PROTX1@prep_of@over-expression@nsubj@leads@prep_to@morphology@amod@PROTX2	RACK1	pro-adherent
9023:PROTX1@nn@site@prep_in@promoter@amod@PROTX2	EGR2	erbB2
9029:PROTX1@prep_of@transfection@nsubj@combined@prep_with@viability@nn@PROTX2	VEGF-C/siRNA	breast cancer
9040:PROTX1@nsubj@target@prep_of@PROTX2	D1	c-erbB2
9043:PROTX1@nsubj@affects@dobj@motility@prep_of@cells@nn@PROTX2	Pfn1	breast cancer
9047:PROTX1@nsubj@defective@prep_to@ligands@amod@PROTX2	Pfn1	proline-rich
9048:PROTX1@prep_of@overexpression@nsubj@suppresses@dobj@tumorigenicity@prep_of@cells@nn@PROTX2	Pfn1	MDA-MB-231
9052:PROTX1@nn@polymorphisms@nsubj@measured@dobj@levels@nn@PROTX2	EGF	EGF
9054:PROTX1@nn@carriers@nsubj@had@dobj@levels@nn@PROTX2	EGF-1380AA	EGF
9063:PROTX1@nsubj@collaborates@prep_with@PROTX2	HOXB13	ras
9073:PROTX1@prep_of@overexpression@nsubj@rescues@dobj@defects@prep_in@)@nn@PROTX2	RAD51	HR
9091:PROTX1@prep_of@history@nsubjpass@diagnosed@prep_with@PROTX2	breast cancer	breast cancer
9104:PROTX1@amod@protein@appos@PROTX2	BRCA2	BCCIP
9105:PROTX1@nsubj@PROTX0@prep_through@PROTX2	BCCIP	BRCA2
9107:PROTX1@nn@domains@nsubj@important@prep_for@regulation@nn@PROTX2	BCCIP	HR
9108:PROTX1@amod@gene@prep_in@PROTX2	PIK3CA	breast
9139:PROTX1@nn@activity@prep_in@cells@nn@PROTX2	PLD	Calu-1
9153:PROTX1@nn@binds@prep_to@promoter@nn@PROTX2	Daxx	c-met
9157:PROTX1@nsubj@regulates@dobj@transcription@prep_of@genes@nn@PROTX2	ATF3	TWIST1
9180:PROTX1@nsubjpass@activated@prep_in@tumors@nn@PROTX2	USP	breast
9199:PROTX1@nsubj@predict@dobj@PROTX2	HER2	breast cancer
9216:PROTX1@nsubj@repressed@prep_in@lines@nn@PROTX2	SOD2	breast cancer
9222:PROTX1@nsubj@important@prep_for@metastasis@nn@PROTX2	COX2	breast cancer
9233:PROTX1@nn@cells@nsubj@environment@prep_for@transactivation@nn@PROTX2	breast	HGF
9238:PROTX1@prep_of@addition@nsubj@improved@dobj@survival@amod@PROTX2	mIg-mGITRLs	long-term
9240:PROTX1@nn@models@prep_of@PROTX2	GEM	breast
9242:PROTX1@prep_of@Expression@nsubj@genes@dobj@PROTX2	clock	Per1
9246:PROTX1@nn@variants@nsubjpass@associated@prep_with@risk@nn@PROTX2	BARD1	breast cancer
9247:PROTX1@nn@variants@nsubjpass@associated@prep_with@risk@nn@PROTX2	BARD1	breast cancer
9250:PROTX1@xsubj@represent@dobj@gene@nn@PROTX2	BARD1	breast cancer
9272:PROTX1@num@variation@nsubjpass@associated@prep_with@metastasis@nn@PROTX2	MMP8	breast cancer
9275:PROTX1@num@variation@nsubj@influence@dobj@prognosis@nn@PROTX2	MMP8	breast cancer
9276:PROTX1@nn@protein@nsubj@regulates@dobj@activity@amod@PROTX2	BAG3	Hsp70
9277:PROTX1@nn@protein@nsubj@contains@dobj@region@amod@PROTX2	BAG3	proline-rich
9286:PROTX1@nn@protein@nsubj@regulates@dobj@signaling@nn@PROTX2	WD-40	Ras
9303:PROTX1@nsubj@contributes@xcomp@PROTX2	PPM1D	breast cancer
9306:PROTX1@nsubj@contribute@prep_to@progression@nn@PROTX2	CCL5	breast cancer
9307:PROTX1@nsubjpass@associated@prep_in@women@prep_with@PROTX2	CCL5	breast cancer
9317:PROTX1@prep_between@interaction@prep_between@PROTX2	HMGB1	TLR4
9318:PROTX1@nsubj@interacts@dobj@)@nn@PROTX2	HMGB1	TLR4
9325:PROTX1@amod@synthesis@prep_between@association@prep_between@genotype@nn@PROTX2	S-COMT	COMT
9337:PROTX1@nsubjpass@involved@prep_under@conditions@prep_of@)@nn@PROTX2	IFI16	IR
9354:PROTX1@nsubj@enhances@dobj@tumorigenesis@prep_of@cells@nn@PROTX2	IQGAP1	breast
9356:PROTX1@prep_of@amount@nsubj@greater@prep_with@cells@nn@PROTX2	IQGAP1	breast
9357:PROTX1@prep_of@Overexpression@nsubj@enhances@dobj@proliferation@prep_of@cells@nn@PROTX2	IQGAP1	breast
9402:PROTX1@amod@reporter@prep_in@PROTX2	HER2	BT-474
9411:PROTX1@nsubjpass@involved@prep_in@development@nn@PROTX2	BRCA1	breast cancer
9414:PROTX1@nsubj@switch@prep_in@PROTX2	cap-dependent	breast cancer
9415:PROTX1@prep_of@majority@nsubj@overexpress@dobj@PROTX2	breast cancer	4E-BP1
9417:PROTX1@prep_of@levels@nsubj@trigger@dobj@inhibition@prep_of@translation@amod@PROTX2	4E-BP1	cap-dependent
9434:PROTX1@nn@135G-->C@nsubj@modifies@dobj@risk@nn@PROTX2	RAD51	breast cancer
9435:PROTX1@nsubj@component@nsubj@interacts@prep_with@PROTX2	RAD51	BRCA1
9436:PROTX1@nn@)@dep@)@prep_of@PROTX2	SNP	RAD51
9445:PROTX1@nsubj@complexed@dobj@PROTX2	NCoR1	VDR
9459:PROTX1@nn@benzo[a]pyrene@nsubj@induced@dobj@activity@prep_of@PROTX2	AhR-ligands	COX-2
9464:PROTX1@nsubjpass@affected@prep_in@line@nn@PROTX2	PPARbeta	breast cancer
9485:PROTX1@amod@beta@prep_in@PROTX2	Rho-GD	breast cancer
9486:PROTX1@amod@beta@nsubj@regulates@dobj@gene@nn@PROTX2	Rho-GD	Cox-2
9489:PROTX1@amod@beta@prep_in@PROTX2	Rho-GD	breast cancer
9502:PROTX1@prep_in@variation@nsubj@influence@dobj@carcinogenesis@nn@PROTX2	GATA3	breast
9508:PROTX1@nn@)@nsubj@suppressor@nn@PROTX2	FOXP3	breast cancer
9511:PROTX1@prep_of@expression@nsubj@repressed@dobj@expression@amod@PROTX2	FOXP3	SKP2
9513:PROTX1@nsubj@repressed@dobj@promoter@amod@PROTX2	Foxp3	Skp2
9515:PROTX1@prep_of@downregulation@nsubj@critical@prep_for@inhibition@nn@PROTX2	SKP2	FOXP3-mediated
9516:PROTX1@nsubj@repressor@prep_for@PROTX2	FOXP3	SKP2
9529:PROTX1@nn@line@partmod@known@prep_to@PROTX2	breast cancer	Tbx2
9535:PROTX1@nn@cells@nsubj@overexpress@dobj@BT474@nn@PROTX2	breast cancer	HER2
9543:PROTX1@nsubjpass@estrogen@dobj@expression@nn@PROTX2	FOXP1	FOXP1
9546:PROTX1@nn@SNP309@nsubj@accelerates@dobj@carcinogenesis@nn@PROTX2	MDM2	breast
9547:PROTX1@amod@site@prep_in@promoter@nn@PROTX2	SP1	MDM2
9549:PROTX1@nn@SNP309@nsubj@accelerate@dobj@carcinogenesis@nn@PROTX2	MDM2	breast
9555:PROTX1@nsubj@possessed@dobj@activity@prep_of@PROTX2	APs	APs
9570:PROTX1@nn@risk@nsubj@associated@prep_with@PROTX2	breast cancer	BRCA1
9574:PROTX1@amod@cells@prep_to@PROTX2	MDA-MB-231	C8-GC
9597:PROTX1@prep_of@Down-regulation@nsubj@suppressed@dobj@proliferation@prep_of@lines@amod@PROTX2	FoxA1	ErbB2-negative
9598:PROTX1@prep_of@Down-regulation@nsubj@enhanced@prep_on@lines@nn@PROTX2	FoxA1	ErbB2-positive
9601:PROTX1@nn@members@nsubj@associate@prep_with@PROTX2	MTG	TCF4
9609:PROTX1@nsubj@increases@dobj@expression@amod@PROTX2	FGF-1	c-jun
9612:PROTX1@nn@)@nsubjpass@implicated@prep_in@control@prep_of@epithelium@nn@PROTX2	TFAP2A	breast
9619:PROTX1@prep_of@Specific@prep_to@promoter@prep_through@PROTX2	PRA	PRE
9628:PROTX1@prep_of@susceptibility@nsubj@associated@prep_with@polymorphism@prep_of@PROTX2	breast cancer	CCND1
9639:PROTX1@nsubj@have@dobj@activity@amod@inhibitory@amod@PROTX2	NS-398	COX-2
9640:PROTX1@nsubj@decrease@prep_in@cells@nn@PROTX2	NS-398	breast cancer
9669:PROTX1@nn@mutations@nsubj@causes@prep_of@PROTX2	PALB2	breast cancer
9692:PROTX1@nsubj@receptors@prep_in@lines@nn@PROTX2	Sigma-1	breast cancer
9699:PROTX1@prep_of@dephosphorylation@nsubj@enhances@dobj@activity@prep_of@PROTX2	BRCA1	BRCA1
9721:PROTX1@nsubj@homolog@prep_of@protein@amod@PROTX2	RAD51D	RAD51
9737:PROTX1@nn@polymorphisms@prep_of@)@nn@PROTX2	AG	RAGE
9747:PROTX1@prep_of@regulation@nsubj@(@dobj@)@nn@PROTX2	CYP1B1	AhR
9749:PROTX1@nn@regulation@prep_of@PROTX2	AhR	CYP1A1
9753:PROTX1@nsubj@binding@prep_to@promoters@nn@PROTX2	AhR	CYP1A1
9754:PROTX1@nsubj@binding@prep_to@PROTX2	AhR	CYP1A1
9755:PROTX1@nsubj@mediates@prep_than@PROTX2	AhR	AhR
9761:PROTX1@prep_of@regulation@xsubj@reliant@prep_on@proteins@amod@PROTX2	myc	SRC-1
9763:PROTX1@xsubj@regulate@dobj@production@prep_of@PROTX2	SRC-1	myc
9765:PROTX1@prep_of@interaction@prep_of@PROTX2	HDAC1	HDAC2
9770:PROTX1@prep_of@Introduction@nsubj@led@prep_to@activation@amod@PROTX2	EGFR	STAT3
9792:PROTX1@nn@cells@partmod@stimulated@prep_with@PROTX2	breast cancer	Col-IV.
9793:PROTX1@nsubj@regulates@dobj@secretion@prep_of@MMP-9@prep_via@PROTX2	Col-IV	Src
9796:PROTX1@prep_of@effects@dobj@characterizing@prep_on@transformation@nn@PROTX2	Twist	breast
9797:PROTX1@nsubj@transcriptionally@dobj@E-cadherin@prep_in@cells@nn@PROTX2	Twist	breast cancer
9837:PROTX1@prep_for@requirement@nsubj@supports@dobj@application@prep_of@inhibitors@nn@PROTX2	D1	D1
9840:PROTX1@nsubj@suppresses@dobj@growth@prep_of@cells@nn@PROTX2	COBRA1	breast cancer
9850:PROTX1@nn@region@prep_of@PROTX2	Mb	Chr
9854:PROTX1@amod@enzyme@appos@PROTX2	p450	CYP1A1
9890:PROTX1@nsubjpass@associated@prep_with@PROTX2	GSTT1	breast cancer
9901:PROTX1@nn@complexes@nsubj@showed@prep_for@)@nn@PROTX2	ADV-Avi/biotin-PEG-EGF	EGF
9908:PROTX1@nsubj@explain@dobj@clustering@prep_of@cases@nn@PROTX2	HSD17B1	breast cancer
9927:PROTX1@nsubj@inhibits@dobj@nucleation@nn@PROTX2	BRCA1	MT
9933:PROTX1@nn@)@nsubj@regulator@prep_in@cells@nn@PROTX2	FRE	breast cancer
9939:PROTX1@nsubj@target@prep_of@)@prep_in@cells@nn@PROTX2	FOXO3a	breast cancer
9950:PROTX1@nn@expression@nsubj@inhibited@prep_for@lines@nn@PROTX2	RIN1	breast
9957:PROTX1@amod@mutations@prep_in@PROTX2	Germ	RET
9958:PROTX1@nn@stimulation@nsubj@alpha@dobj@cells@nn@PROTX2	GDNF	breast cancer
9961:PROTX1@prep_of@Coexpression@nsubj@(@dobj@)@nn@PROTX2	c-Rel	AhR
10002:PROTX1@nsubj@represents@dobj@%@prep_of@tumors@nn@PROTX2	breast cancer	breast
10003:PROTX1@amod@genes@appos@PROTX2	breast cancer	BRCA1
10010:PROTX1@nsubj@imaging@dobj@phenotypes@prep_of@PROTX2	MR	breast cancer
10013:PROTX1@amod@form@prep_of@)@nn@PROTX2	p-STAT3	STAT3
10033:PROTX1@nn@inhibitor@nsubj@modulates@dobj@stability@amod@PROTX2	Stat3	Stat3
10063:PROTX1@nsubj@inhibits@dobj@apoptosis@prep_via@regulation@prep_of@PROTX2	FOXO3a	CITED2
10065:PROTX1@prep_of@transcription@nsubjpass@induced@agent@PROTX2	CITED2	FOXO3a
10069:PROTX1@prep_of@Transformation@nsubj@epithelial@dobj@cells@nn@PROTX2	breast	MCF-10A
10071:PROTX1@nn@transformation@prep_on@activity@prep_of@PROTX2	Ha-ras	MCF-10A
10080:PROTX1@amod@upregulation@prep_of@PROTX2	IFN-induced	CARD6
10092:PROTX1@nsubj@increased@dobj@invasiveness@prep_of@cells@nn@PROTX2	MIC-1	MDA-MB-231
10108:PROTX1@prep_of@aspects@nsubj@relating@prep_to@PROTX2	HR	DSB
10124:PROTX1@nn@polymorphism@nsubj@reduces@dobj@risk@nn@PROTX2	VEGF_936_C>T	BRCA1-associated
10133:PROTX1@nsubj@cause@dobj@formation@nn@PROTX2	MIF	tube
10143:PROTX1@nsubj@regulates@dobj@growth@nn@PROTX2	CARM1	breast cancer
10146:PROTX1@nn@promoter@nsubj@subject@prep_to@dimethylation@nn@PROTX2	E2F1	CARM1-dependent
10147:PROTX1@nsubj@factor@prep_in@pathway@prep_of@downstream@nn@PROTX2	CARM1	breast cancer
10163:PROTX1@prep_of@levels@nsubj@higher@prep_in@patients@nn@PROTX2	TIMP-1	breast cancer
10183:PROTX1@prep_with@patients@nsubj@candidate@prep_for@test@nn@PROTX2	breast cancer	BRCA1
10186:PROTX1@nsubj@have@dobj@risk@prep_of@mutation@nn@PROTX2	breast cancer	BRCA1
10194:PROTX1@nn@)@appos@)@nn@PROTX2	BRCA1	BRCA2
10207:PROTX1@nn@superfamily@prep_of@enzymes@nsubj@catalyses@dobj@PROTX2	P450	step
10213:PROTX1@nsubj@demethylates@dobj@promoter@prep_of@gene@nn@PROTX2	hr	GSTP1
10220:PROTX1@nn@expression@nsubj@induce@dobj@proliferation@nn@PROTX2	BIRC5	breast
10230:PROTX1@nn@)@nsubj@reduces@dobj@activity@nn@PROTX2	PTP	Src
10251:PROTX1@amod@carriers@nsubj@had@dobj@risk@prep_of@odds@nn@PROTX2	XRCC1	breast cancer
10274:PROTX1@amod@overexpression@prep_in@PROTX2	HER2	breast cancer
10307:PROTX1@xsubj@induce@dobj@cleavage@nn@PROTX2	BRCA1	DEF1-dependent
10308:PROTX1@nsubj@suppressed@dobj@interaction@prep_of@PROTX2	breast cancer	BRCA1
10311:PROTX1@nsubj@form@nsubj@PROTX2	BRCA1	SPT5
10315:PROTX1@nsubjpass@implicated@prep_in@etiology@prep_of@PROTX2	PR	breast cancer
10329:PROTX1@num@activity@nsubj@essential@prep_for@transformation@nn@PROTX2	CSN5	breast
10331:PROTX1@prep_of@effects@nsubj@require@dobj@subunits@nn@PROTX2	CSN5	CSN
10342:PROTX1@nn@down-regulation@prep_of@inhibition@nn@PROTX2	XIAP	XIAP
10348:PROTX1@dobj@containing@dobj@PROTX2	Sp1	PR-B
10366:PROTX1@prep_of@region@nsubj@necessary@prep_for@actions@prep_of@PROTX2	AP	pCD
10382:PROTX1@prep_of@expression@nsubj@enhanced@dobj@rate@prep_of@accumulation@prep_of@PROTX2	GSTP1-1	SFN
10427:PROTX1@nn@data@prep_of@Identification@prep_in@carcinomas@nn@PROTX2	RT-PCR	breast
10441:PROTX1@amod@mutation@prep_in@PROTX2	BRCA2	breast
10452:PROTX1@prep_between@examined@prep_between@PROTX2	ERBB2	AP-2alpha
10465:PROTX1@nn@treatments@nsubj@induced@dobj@depletion@prep_of@)@nn@PROTX2	SPO	Psi
10477:PROTX1@nsubj@caused@dobj@arrest@prep_in@line@nn@PROTX2	PKC	breast cancer
10478:PROTX1@nn@)@nsubj@caused@dobj@inhibition@prep_in@cells@nn@PROTX2	ATRA	breast cancer
10482:PROTX1@nsubj@useful@prep_in@PROTX2	PKC	breast cancer
10543:PROTX1@amod@down-regulation@prep_of@PROTX2	long-term	BRCA1
10560:PROTX1@nsubj@play@dobj@role@prep_in@carcinogenesis@nn@PROTX2	D1	breast
10564:PROTX1@nsubj@represent@dobj@%@prep_of@PROTX2	breast cancer	breast cancer
10574:PROTX1@nsubj@emerged@prep_in@analysis@prep_of@PROTX2	ADAM12	breast cancer
10576:PROTX1@prep_in@mutations@nsubj@inhibit@dobj@processing@prep_of@PROTX2	ADAM12	ADAM12
10577:PROTX1@nn@mutants@nsubj@exert@prep_on@processing@prep_of@PROTX2	ADAM12	ADAM12
10581:PROTX1@nn@loss@nsubj@increases@dobj@activity@prep_of@PROTX2	CDK10	ETS2
10582:PROTX1@prep_of@Identification@infmod@endocrine@prep_for@PROTX2	CDK10	breast cancer
10585:PROTX1@nsubj@links@dobj@differentiation@prep_in@model@nn@PROTX2	GATA-3	breast cancer
10586:PROTX1@nsubj@regulates@dobj@differentiation@prep_in@PROTX2	GATA-3	breast cancer
10588:PROTX1@nsubj@upregulated@dobj@mRNA@prep_in@cells@nn@PROTX2	leptin	breast cancer
10589:PROTX1@nsubj@increased@dobj@translocation@prep_of@PROTX2	leptin	STAT3
10590:PROTX1@prep_of@enhanced@infmod@survivin@prep_by@PROTX2	STAT3	leptin
10593:PROTX1@nsubj@regulates@dobj@transactivation@nn@PROTX2	BARD1	BRCA1-mediated
10596:PROTX1@nsubj@promoted@dobj@accumulation@prep_of@PROTX2	BARD1	BRCA1
10598:PROTX1@nsubj@reduces@dobj@activity@amod@PROTX2	BARD1	BRCA1
10610:PROTX1@nsubjpass@associated@prep_with@PROTX2	TBX3	breast cancer
10611:PROTX1@nsubjpass@overexpressed@prep_in@cells@prep_of@tissues@nn@PROTX2	TBX3	breast cancer
10612:PROTX1@prep_of@)@nsubj@abolishes@prep_with@PROTX2	TBX3	HDAC5
10627:PROTX1@prep_of@role@prep_in@carcinogenesis@nn@PROTX2	TRPV6	breast
10628:PROTX1@nsubj@channel@nsubjpass@expressed@prep_in@tissue@nn@PROTX2	TRPV6	breast
10631:PROTX1@nsubj@affects@dobj@transport@prep_in@T47D.@nn@PROTX2	TRPV6	breast cancer
10652:PROTX1@nn@)@nsubj@form@prep_of@PROTX2	breast cancer	breast cancer
10664:PROTX1@nsubj@increases@dobj@angiogenesis@nn@PROTX2	VEGF	breast
10671:PROTX1@nsubj@separated@dobj@PROTX2	MGA	breast cancer
10692:PROTX1@prep_of@inactivation@nsubj@occurs@dobj@)@prep_of@PROTX2	RUNX3	breast
10693:PROTX1@prep_of@inactivation@nsubj@represent@dobj@event@prep_in@carcinogenesis@nn@PROTX2	RUNX3	breast
10705:PROTX1@nsubj@induces@dobj@transactivation@prep_of@PROTX2	MIC-1	ErbB2
10710:PROTX1@prep_of@Stimulation@nsubj@induces@dobj@phosphorylation@prep_of@PROTX2	SK-BR-3	mTOR
10723:PROTX1@amod@cascade@prep_in@cells@nn@PROTX2	kappaB/cyclin-D1	breast cancer
10736:PROTX1@nsubj@augments@dobj@proliferation@prep_of@cells@nn@PROTX2	Leptin	breast cancer
10737:PROTX1@nsubj@elicits@dobj@effect@prep_in@cells@nn@PROTX2	Leptin	breast cancer
10741:PROTX1@nsubj@transactivate@dobj@PROTX2	leptin	HER2
